time,open,high,low,close,tick_volume,spread,real_volume
2025-07-16 08:00:00,3338.27,3342.71,3335.57,3341.93,36355,15,0
2025-07-16 12:00:00,3341.93,3343.05,3330.97,3334.55,42822,15,0
2025-07-16 16:00:00,3334.55,3377.49,3319.63,3349.17,83687,15,0
2025-07-16 20:00:00,3349.06,3357.52,3346.03,3347.4,34290,18,0
2025-07-17 00:00:00,3347.18,3352.18,3339.72,3340.74,9232,18,0
2025-07-17 04:00:00,3340.78,3344.75,3336.35,3342.67,19459,18,0
2025-07-17 08:00:00,3342.67,3342.89,3325.04,3328.77,34311,18,0
2025-07-17 12:00:00,3328.77,3332.45,3309.72,3312.96,46612,18,0
2025-07-17 16:00:00,3312.92,3340.0,3311.09,3338.91,58107,18,0
2025-07-17 20:00:00,3338.91,3341.11,3335.6,3338.97,28800,18,0
2025-07-18 00:00:00,3340.74,3343.97,3337.95,3339.82,17309,18,0
2025-07-18 04:00:00,3339.82,3344.23,3333.79,3337.17,31937,18,0
2025-07-18 08:00:00,3337.17,3350.38,3331.75,3347.61,29505,18,0
2025-07-18 12:00:00,3347.61,3361.23,3347.35,3360.04,40859,18,0
2025-07-18 16:00:00,3360.04,3360.39,3351.13,3353.55,52634,18,0
2025-07-18 20:00:00,3353.55,3353.81,3347.58,3350.04,26522,18,0
2025-07-21 00:00:00,3348.19,3354.58,3344.87,3352.35,19748,18,0
2025-07-21 04:00:00,3352.35,3358.76,3350.59,3357.83,29636,18,0
2025-07-21 08:00:00,3357.84,3370.74,3357.51,3365.99,41199,18,0
2025-07-21 12:00:00,3366.02,3388.66,3362.71,3387.1,42611,18,0
2025-07-21 16:00:00,3387.1,3401.52,3383.46,3395.69,61627,18,0
2025-07-21 20:00:00,3395.7,3399.81,3391.5,3396.88,35072,18,0
2025-07-22 00:00:00,3397.04,3402.64,3390.51,3394.42,20797,18,0
2025-07-22 04:00:00,3394.42,3395.91,3385.2,3391.13,33155,18,0
2025-07-22 08:00:00,3391.13,3391.96,3383.28,3389.05,38703,18,0
2025-07-22 12:00:00,3389.05,3407.98,3384.59,3407.63,38528,18,0
2025-07-22 16:00:00,3407.64,3432.82,3405.12,3432.17,62907,18,0
2025-07-22 20:00:00,3432.18,3433.44,3426.54,3431.07,33128,18,0
2025-07-23 00:00:00,3432.3,3438.8,3426.34,3428.73,13605,18,0
2025-07-23 04:00:00,3428.73,3430.71,3419.28,3423.57,28182,18,0
2025-07-23 08:00:00,3423.57,3429.68,3416.32,3428.41,40055,18,0
2025-07-23 12:00:00,3428.41,3433.84,3419.97,3420.03,40482,18,0
2025-07-23 16:00:00,3420.03,3420.62,3381.49,3387.48,66853,18,0
2025-07-23 20:00:00,3387.42,3395.96,3385.64,3386.95,33982,18,0
2025-07-24 00:00:00,3388.64,3393.22,3386.43,3391.51,13658,18,0
2025-07-24 04:00:00,3391.5,3393.35,3374.66,3382.64,36797,18,0
2025-07-24 08:00:00,3382.64,3382.94,3365.78,3369.69,40404,18,0
2025-07-24 12:00:00,3369.68,3370.11,3352.65,3353.47,40141,18,0
2025-07-24 16:00:00,3353.47,3377.41,3351.42,3366.94,56007,18,0
2025-07-24 20:00:00,3366.89,3373.37,3366.22,3368.29,27559,18,0
2025-07-25 00:00:00,3368.21,3373.53,3365.15,3372.14,14744,18,0
2025-07-25 04:00:00,3372.15,3372.75,3357.85,3360.97,26065,18,0
2025-07-25 08:00:00,3360.97,3362.35,3344.48,3345.48,30027,18,0
2025-07-25 12:00:00,3345.48,3348.9,3336.43,3340.78,34046,18,0
2025-07-25 16:00:00,3340.78,3347.48,3324.97,3329.62,58608,18,0
2025-07-25 20:00:00,3329.62,3340.27,3329.59,3336.35,27029,18,0
2025-07-28 00:00:00,3320.92,3337.43,3313.06,3333.28,23169,18,0
2025-07-28 04:00:00,3333.28,3344.01,3329.85,3339.64,28942,18,0
2025-07-28 08:00:00,3339.64,3345.31,3332.33,3336.13,34129,18,0
2025-07-28 12:00:00,3336.09,3340.81,3325.52,3328.46,36054,18,0
2025-07-28 16:00:00,3328.38,3330.62,3301.73,3312.12,53604,18,0
2025-07-28 20:00:00,3312.07,3318.86,3308.74,3314.39,28333,18,0
2025-07-29 00:00:00,3313.62,3315.83,3307.98,3311.6,17405,18,0
2025-07-29 04:00:00,3311.6,3320.98,3308.64,3316.45,30313,18,0
2025-07-29 08:00:00,3316.45,3329.95,3311.2,3326.36,40672,18,0
2025-07-29 12:00:00,3326.38,3328.22,3314.93,3323.37,40266,18,0
2025-07-29 16:00:00,3323.37,3334.17,3311.92,3323.16,53813,18,0
2025-07-29 20:00:00,3323.21,3330.86,3322.59,3326.39,29594,18,0
2025-07-30 00:00:00,3327.0,3333.61,3325.94,3330.28,11549,18,0
2025-07-30 04:00:00,3330.28,3333.32,3321.79,3327.11,26149,18,0
2025-07-30 08:00:00,3327.11,3333.45,3323.05,3332.24,30347,18,0
2025-07-30 12:00:00,3332.1,3334.03,3310.57,3313.37,38514,18,0
2025-07-30 16:00:00,3313.39,3316.04,3288.57,3297.96,55881,18,0
