time,open,high,low,close,tick_volume,spread,real_volume,close_oro,ratio_eur_oro,ratio_desviacion,divergencia_retornos,oro_tendencia,ratio_volatilidad,correlacion,correlacion_ma,oro_momentum
2024-10-07 08:00:00,1.09679,1.09785,1.09577,1.09694,14785,11,0,2652.25,0.0004135884626260722,-1.3777098034411213,-0.001945043562668447,0.0005763248082615493,0.47621660851759484,0.4790348292653234,0.4599257086936527,0.005100822725567333
2024-10-07 12:00:00,1.09694,1.0983,1.09537,1.09768,16274,11,0,2640.06,0.0004157784292781225,0.32508098840381056,0.005270701551052692,-3.898280531338154e-05,0.4588761040521571,0.47020396510443524,0.4610025135637176,-0.001995962711787591
2024-10-07 16:00:00,1.09766,1.09844,1.0969,1.09834,20171,11,0,2646.78,0.00041497215484475475,-0.22285235278362142,-0.0019441285663845953,-0.0005307435162154603,0.44721820382552474,0.44940847934569034,0.4607018217924219,-0.0025550581106135173
2024-10-07 20:00:00,1.09833,1.09864,1.09652,1.09733,9668,11,0,2642.5,0.00041526206244087035,0.10755342160748847,0.0006974896869234026,-0.0014449716983943618,0.43717873191065737,0.4499293357799824,0.4605994092897297,-0.002562950828335131
2024-10-08 00:00:00,1.09682,1.09834,1.09681,1.09813,4962,11,0,2643.58,0.00041539503249381525,0.3167266051250559,0.0003203384328909209,-0.0021157843167205143,0.4428802172336564,0.4538053087887092,0.4604790208926448,-0.001193921578999002
2024-10-08 04:00:00,1.09813,1.09862,1.09723,1.0985,8981,11,0,2643.08,0.00041561360231245366,0.5179213603576143,0.0005260738858303693,-0.001997399571556556,0.4601180436033845,0.45375083105808106,0.460359494364866,-0.0034574417947026426
2024-10-08 08:00:00,1.0985,1.09965,1.0977999999999999,1.09934,14654,11,0,2637.86,0.00041675449038235536,1.461113572139835,0.002739647705116921,-0.0021707382571937014,0.46208643563452395,0.45375877943357734,0.4601374842208836,-0.000833314394369733
2024-10-08 12:00:00,1.09934,1.09942,1.09709,1.09753,13121,11,0,2645.86,0.00041481030742367316,-0.2762001590263118,-0.004679203815979638,-0.0023905460460811444,0.4603737286813598,0.4554838591978922,0.45997942287518895,-0.00034759216859736597
2024-10-08 16:00:00,1.09753,1.09833,1.09604,1.09751,17031,11,0,2608.94,0.000420672763651138,3.3693809930607097,0.013935652374041818,-0.00319163084585515,0.3342544948854189,0.4418376851414525,0.4585747956980434,-0.012700094607379309
2024-10-08 20:00:00,1.09751,1.098,1.09653,1.09799,7984,11,0,2621.83,0.00041878764069371396,2.0037865574308524,-0.004503350241422011,-0.003611501716495446,0.3232306317878522,0.3953655050715681,0.45527780556357333,-0.008227479402930893
2024-10-09 00:00:00,1.09699,1.09805,1.09695,1.0975,3366,11,0,2621.13,0.0004187125400113691,1.6963263293760436,-0.00017928091468466523,-0.004332305106724442,0.3467572140342152,0.3939734937233294,0.4518363249369524,-0.008304705116757627
2024-10-09 04:00:00,1.0975,1.09768,1.09616,1.09627,8628,11,0,2615.99,0.0004190650575881407,1.6452008082007132,0.0008402573627869225,-0.004763442047119598,0.3491180368013068,0.3965493340585053,0.44911509818226236,-0.008290811491133088
2024-10-09 08:00:00,1.09627,1.09754,1.09504,1.09572,16052,11,0,2616.2,0.00041882119104044035,1.362354794711753,-0.0005819767594603675,-0.005465401903196165,0.34708963896223904,0.39993580450599553,0.4465413608684782,-0.011209965757825513
2024-10-09 12:00:00,1.09572,1.09702,1.09522,1.09564,11245,11,0,2618.85,0.0004183668404070489,1.0384882433971987,-0.0010859308548326618,-0.005974622703364435,0.3511649754757662,0.400077930396149,0.4439313413192158,0.003798477542603429
2024-10-09 16:00:00,1.09564,1.09593,1.09389,1.09409,17012,11,0,2608.71,0.0004193988599729368,1.354600765974722,0.0024572302596906903,-0.0067802106426658754,0.35173405900314697,0.4008082898812467,0.4423826652317196,-0.0050041383308604415
2024-10-09 20:00:00,1.09409,1.09421,1.09356,1.09392,8452,11,0,2607.63,0.0004195073687601385,1.2587810333915874,0.00025861745265087777,-0.007483299914433615,0.19472818859636756,0.40467014423450987,0.4409855461827924,-0.005150450378271998
2024-10-10 00:00:00,1.09376,1.09426,1.09354,1.09401,3739,11,0,2609.3,0.00041927336833633535,1.0469204278519006,-0.0005581553548974494,-0.007957732599566617,0.1976622334405115,0.4057277471771147,0.43726183183304695,-0.002557349225340899
2024-10-10 04:00:00,1.09401,1.09457,1.09379,1.09405,7867,11,0,2613.91,0.00041854922319437167,0.6579406725793144,-0.0017301946307897165,-0.00865417334284559,0.181055969726524,0.40479647480855135,0.4335588105922323,-0.0008753153428636695
2024-10-10 08:00:00,1.09405,1.09425,1.09278,1.09325,11379,11,0,2615.49,0.0004179905103823758,0.3343601591765231,-0.0013356864609908037,-0.00803376728970833,0.18338303219189805,0.4038426479985225,0.4297023866361037,-0.001283005899536116
2024-10-10 12:00:00,1.09325,1.09543,1.0907,1.09434,18047,11,0,2625.1,0.0004168755475981868,-0.26723281788060593,-0.002677236501051672,-0.007692392335281131,0.1896866642616822,0.4064431851615536,0.4259701815066094,0.006282798777939913
2024-10-10 16:00:00,1.09434,1.09493,1.09026,1.09056,29573,11,0,2619.26,0.0004163618732008277,-0.6566362342905796,-0.0012294595847971435,-0.007251686125218519,0.267629213943302,0.41245004844869265,0.42264094246577794,0.004459988571998474
2024-10-10 20:00:00,1.09056,1.09373,1.08994,1.09365,10988,11,0,2630.02,0.00041583333967042075,-0.9521115400935617,-0.0012746238222938189,-0.006392407947502766,0.31561710356601674,0.41667585216769976,0.4199645368189412,0.007940827041735155
2024-10-11 00:00:00,1.09249,1.09375,1.09249,1.09369,3522,11,0,2633.8,0.0004152517275419546,-1.2966328244572987,-0.0014006766551952765,-0.005428810021405611,0.31509721608515806,0.4270262824421903,0.41884542697376614,0.007609290296911597
2024-10-11 04:00:00,1.09369,1.09402,1.09291,1.09351,4114,11,0,2645.57,0.0004133362564589105,-2.110114932207999,-0.004633408765892466,-0.00418028018744024,0.3029498439823478,0.42748857294901194,0.4177233888322177,0.011500713059503287
2024-10-11 08:00:00,1.09351,1.09533,1.09317,1.09491,9402,11,0,2639.23,0.0004148596370911213,-1.2966178578211676,0.0036767399163699643,-0.0027708295196209793,0.30692628045202874,0.42699832897027423,0.41638303984129593,0.005382652089444218
2024-10-11 12:00:00,1.09491,1.09507,1.09256,1.09326,13832,11,0,2643.05,0.0004136357617146856,-1.7393939394964053,-0.0029543650288045287,-0.0014785742905674669,0.31317013535006577,0.41864700060713766,0.4146278483187487,0.009082718019593372
2024-10-11 16:00:00,1.09326,1.0952,1.09274,1.09443,17525,11,0,2660.41,0.00041137644197698856,-2.2660275424964675,-0.005497975617297479,0.00027281024185876,0.3004924745908172,0.41818373941235887,0.4128490963176878,0.01155504520878159
2024-10-11 20:00:00,1.09443,1.09469,1.0932,1.09356,6077,11,0,2656.81,0.0004116064001565788,-1.9253897224848422,0.0005582405371903354,0.0018615936350951541,0.2941565465688776,0.42558678505264563,0.41135424261042547,0.008736426456070978
2024-10-14 00:00:00,1.0932,1.0933,1.09148,1.0921,3968,11,0,2646.74,0.00041262080899521684,-1.4061978908726194,0.002455170680691232,0.003081309903101145,0.4417664255337175,0.42550634100715795,0.4105376754037108,0.0004422487403468178
2024-10-14 04:00:00,1.0921,1.09288,1.09174,1.09232,6619,11,0,2659.2,0.0004107701564380265,-1.7852852854758121,-0.004506231370827285,0.004218483321459625,0.44249769281961204,0.39744998631770684,0.4106418994660177,0.007566600864646
2024-10-14 08:00:00,1.09232,1.09311,1.09217,1.09265,9479,11,0,2659.37,0.0004108679875308814,-1.5433786005330037,0.00023818027080468873,0.005651571750801963,0.4450101010807418,0.38641136880262156,0.4102637932199823,0.006174684550046328
2024-10-14 12:00:00,1.09265,1.09362,1.09067,1.09091,10695,11,0,2651.37,0.0004114514383130231,-1.223278296101234,0.0014157725714979419,0.006318462512519536,0.4432458595437466,0.368324353895093,0.4088525442118117,-0.0033979724929615873
2024-10-14 16:00:00,1.0909,1.0927,1.09001,1.0901,15262,11,0,2648.56,0.00041158214274926756,-1.0700216139494858,0.0003173300654129019,0.006856367345724385,0.4410386755335957,0.3779073960769985,0.4077511237903618,-0.0031052276978782434
2024-10-14 20:00:00,1.09009,1.09088,1.08877,1.09084,7588,11,0,2648.12,0.0004119299729619504,-0.8686863711789341,0.0008449648131453324,0.006881577396636757,0.44593086319909264,0.3786081015938943,0.4066776323502491,0.0005213961326009375
2024-10-15 00:00:00,1.09043,1.091,1.09035,1.09068,3189,11,0,2648.15,0.0004118648868077715,-0.8082648325799944,-0.00015800474789051666,0.007162067019630796,0.4642223939714491,0.3760471719554862,0.40543957645396106,-0.004155385078218887
2024-10-15 04:00:00,1.09068,1.09084,1.0891,1.08924,5902,11,0,2644.4,0.0004119044017546513,-0.7222355715610604,9.580566759181952e-05,0.007196503936792595,0.4682852530557639,0.3808099308922005,0.40424656578684565,-0.005629152769264789
2024-10-15 08:00:00,1.08924,1.09157,1.08843,1.09099,13512,11,0,2653.91,0.00041108779122125467,-0.9539093867988454,-0.00198965412644303,0.00674513847732107,0.4773059029276316,0.37994527935828565,0.40295744239590414,0.0009579953005427466
2024-10-15 12:00:00,1.09099,1.09146,1.08967,1.09095,13490,11,0,2648.3,0.000411943510931541,-0.5433292720372344,0.002077198240819089,0.006390966263326725,0.4668279525065976,0.3884093253732011,0.40213808492413666,-9.816655088035198e-05
2024-10-15 16:00:00,1.09094,1.09163,1.08887,1.08889,18098,11,0,2661.85,0.0004090726374513966,-1.728518030517411,-0.007004752347149257,0.006290828161481713,0.45831418083632025,0.3855675711646941,0.4012243310824452,0.005184810356026137
2024-10-15 20:00:00,1.0889,1.08919,1.08813,1.08908,9161,11,0,2662.65,0.0004090210880138208,-1.6338421324027728,-0.00012605323766501364,0.00590243737192388,0.46050210379893947,0.36440851556063353,0.3991225976023992,0.0054755206464891515
2024-10-16 00:00:00,1.08899,1.08926,1.08815,1.08849,2885,11,0,2660.14,0.00040918523085251154,-1.4634618728587538,0.0004009282430258443,0.005435864043514239,0.3971247397360428,0.36270109752577745,0.3966351500562535,0.00595220087732562
2024-10-16 04:00:00,1.0884800000000001,1.08952,1.08838,1.08889,5957,11,0,2666.69,0.00040833017711095024,-1.7780212048129567,-0.0020947948645224646,0.005372538012865359,0.33628518314820177,0.33323628862921983,0.39246317187932944,0.00481553632187981
2024-10-16 08:00:00,1.08889,1.08898,1.08746,1.08827,13918,11,0,2679.49,0.0004061481849157863,-2.49676898223997,-0.005369345174462081,0.005740412544684934,0.3216331900786138,0.32071242065859323,0.3871474787901496,0.011777366612543805
2024-10-16 12:00:00,1.08827,1.09009,1.0882,1.08884,12613,11,0,2681.74,0.0004060199721076615,-2.1305465646987445,-0.0003159449548923998,0.006214501461445923,0.3395790171059338,0.31376307410054727,0.3814612038477264,0.007472246745684252
2024-10-16 16:00:00,1.08884,1.08971,1.08655,1.08676,16898,11,0,2674.13,0.0004063975947317445,-1.7831890860844941,0.0009274199953520634,0.006367074550229548,0.33787247961337064,0.3147785822444597,0.37585021651143563,0.0043114941881208235
